"pattern","rank","gene","weight"
"Pattern4",49,"DYNLL1",1.6577056646347
"Pattern4",50,"TALDO1",1.64512479305267
"Pattern5",1,"FTH1",9.55227184295654
"Pattern5",2,"ACTB",7.52307558059692
"Pattern5",3,"PFN1",5.88509893417358
"Pattern5",4,"CCR7",2.10904932022095
"Pattern5",5,"VIM",1.92166268825531
"Pattern5",6,"HSPA8",1.72707188129425
"Pattern5",7,"LTB",1.42058217525482
"Pattern5",8,"EMP3",1.31838953495026
"Pattern5",9,"FTL",1.19442474842072
"Pattern5",10,"ACTG1",0.894158959388733
"Pattern5",11,"SELL",0.887323558330536
"Pattern5",12,"HSP90AB1",0.883601546287537
"Pattern5",13,"RGCC",0.869094133377075
"Pattern5",14,"HSP90AA1",0.837141454219818
"Pattern5",15,"CREM",0.809237122535706
"Pattern5",16,"IL7R",0.7737997174263
"Pattern5",17,"ISG20",0.759936988353729
"Pattern5",18,"BIRC3",0.699420630931854
"Pattern5",19,"JUNB",0.671668827533722
"Pattern5",20,"SRSF7",0.667732000350952
"Pattern5",21,"GPR183",0.598592460155487
"Pattern5",22,"SH3BGRL3",0.593046009540558
"Pattern5",23,"PKM",0.561571061611176
"Pattern5",24,"HSPD1",0.518622636795044
"Pattern5",25,"S100A10",0.514989495277405
"Pattern5",26,"TSC22D3",0.513729512691498
"Pattern5",27,"CACYBP",0.511835336685181
"Pattern5",28,"SEC61B",0.506948053836823
"Pattern5",29,"S100A6",0.500737607479095
"Pattern5",30,"CLEC2D",0.488515257835388
"Pattern5",31,"S100A11",0.48304158449173
"Pattern5",32,"HSPA5",0.473477393388748
"Pattern5",33,"ATP6V1F",0.459560096263885
"Pattern5",34,"HERPUD1",0.45378589630127
"Pattern5",35,"TRAT1",0.44222417473793
"Pattern5",36,"ITM2A",0.435571104288101
"Pattern5",37,"DNAJA1",0.418628931045532
"Pattern5",38,"SOCS1",0.397059857845306
"Pattern5",39,"GAPDH",0.388876885175705
"Pattern5",40,"PPA1",0.388761162757874
"Pattern5",41,"DYNLL1",0.384994804859161
"Pattern5",42,"ALOX5AP",0.383772611618042
"Pattern5",43,"SRSF2",0.362207800149918
"Pattern5",44,"GPX4",0.358884155750275
"Pattern5",45,"PRDX1",0.355541259050369
"Pattern5",46,"YPEL5",0.349185228347778
"Pattern5",47,"IL32",0.341760903596878
"Pattern5",48,"HSPE1",0.334785759449005
"Pattern5",49,"NFKBIA",0.333083987236023
"Pattern5",50,"COX5A",0.330574959516525
"Pattern6",1,"CD74",13.9291925430298
"Pattern6",2,"HLA-DRA",11.7218132019043
"Pattern6",3,"HLA-DRB1",10.0267648696899
"Pattern6",4,"HLA-DPA1",8.5539722442627
"Pattern6",5,"HLA-DPB1",8.35087203979492
"Pattern6",6,"FTL",7.1249098777771
"Pattern6",7,"FTH1",3.34033370018005
"Pattern6",8,"HLA-DQB1",2.68326830863953
"Pattern6",9,"ACTB",2.42803120613098
"Pattern6",10,"HLA-DQA1",2.13680601119995
"Pattern6",11,"HSP90AB1",1.60272872447968
"Pattern6",12,"HLA-DMA",1.55609965324402
"Pattern6",13,"HSP90AA1",1.53352093696594
"Pattern6",14,"ACTG1",1.31299877166748
"Pattern6",15,"HERPUD1",1.28312802314758
"Pattern6",16,"GAPDH",1.28136157989502
"Pattern6",17,"PFN1",1.26621270179749
"Pattern6",18,"CD83",1.22342240810394
"Pattern6",19,"TALDO1",1.21315395832062
"Pattern6",20,"TXN",1.17451786994934
"Pattern6",21,"PKM",1.16456818580627
"Pattern6",22,"DNAJA1",1.12334823608398
"Pattern6",23,"CLIC1",1.01152777671814
"Pattern6",24,"HSPA8",0.980621457099915
"Pattern6",25,"SEC61B",0.978896141052246
"Pattern6",26,"BST2",0.926420271396637
"Pattern6",27,"ANXA2",0.880560338497162
"Pattern6",28,"SYNGR2",0.824613571166992
"Pattern6",29,"JUNB",0.81840568780899
"Pattern6",30,"PRDX1",0.812230587005615
"Pattern6",31,"EMP3",0.786906361579895
"Pattern6",32,"CMTM6",0.762858867645264
"Pattern6",33,"SH3BGRL3",0.759269714355469
"Pattern6",34,"COX5A",0.742465794086456
"Pattern6",35,"DYNLL1",0.741462409496307
"Pattern6",36,"NFKBIA",0.73133248090744
"Pattern6",37,"ATP6V0B",0.714711129665375
"Pattern6",38,"GPX4",0.709626913070679
"Pattern6",39,"BIRC3",0.707762479782104
"Pattern6",40,"CD63",0.702569425106049
"Pattern6",41,"PIM3",0.700193345546722
"Pattern6",42,"TYMP",0.692310094833374
"Pattern6",43,"ATP1B3",0.683047533035278
"Pattern6",44,"GPR183",0.669573247432709
"Pattern6",45,"LSP1",0.654929041862488
"Pattern6",46,"SQSTM1",0.631309270858765
"Pattern6",47,"RAC1",0.620699882507324
"Pattern6",48,"BID",0.607792019844055
"Pattern6",49,"TUBA1B",0.607473254203796
"Pattern6",50,"CTSS",0.604175865650177
"Pattern7",1,"CXCL10",8.17858695983887
"Pattern7",2,"ISG15",7.89776849746704
"Pattern7",3,"APOBEC3A",7.34213018417358
"Pattern7",4,"IFITM3",6.81896066665649
"Pattern7",5,"RSAD2",5.69578123092651
"Pattern7",6,"TNFSF10",5.41906595230103
"Pattern7",7,"SAT1",5.01239681243896
"Pattern7",8,"ISG20",4.72870779037476
"Pattern7",9,"SOD2",4.72824573516846
"Pattern7",10,"IFIT3",4.63441467285156
"Pattern7",11,"TYMP",4.61625003814697
"Pattern7",12,"LY6E",4.51403284072876
"Pattern7",13,"IFIT1",4.42971563339233
"Pattern7",14,"IDO1",4.3353419303894
"Pattern7",15,"C15orf48",4.22946977615356
"Pattern7",16,"TYROBP",4.22902631759644
"Pattern7",17,"FTL",4.18271398544312
"Pattern7",18,"CXCL11",4.15139007568359
"Pattern7",19,"IFIT2",4.12093257904053
"Pattern7",20,"S100A11",3.99654531478882
"Pattern7",21,"DYNLT1",3.93807697296143
"Pattern7",22,"IFI6",3.55028629302979
"Pattern7",23,"FTH1",3.53744101524353
"Pattern7",24,"CD63",3.43497824668884
"Pattern7",25,"CST3",3.39100551605225
"Pattern7",26,"ANXA5",3.37134480476379
"Pattern7",27,"CCL2",3.35539054870605
"Pattern7",28,"PLSCR1",3.25078082084656
